Gss year for this respondent                       ,Respondent income in constant dollars,Family income in constant dollars,Those in need have to take care of themselves,R has given money to a charity,R done volunteer work for a charity,Others misfortunes do not disturb r,R feels protective towards people taken advantage,R does not feel very sorry for people having pro,R have tender feeling for people less fortunate,Highest year of school completed,Age of respondent,Marital status,Respondent id number,Ballot used for interview
2004,155374,151053,Agree,At least 2 or 3 times in the past year,Once in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,14,61,Married,481,Ballot a
2004,42127,42127,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,2,Describes very well,3,4,14,44,Divorced,482,Ballot b
2004,0,8425,Disagree,Once in the past year,Not at all in the past year,4,Describes very well,2,Describes very well,12,80,Widowed,483,Ballot a
2004,35106,42127,Agree,At least 2 or 3 times in the past year,Not at all in the past year,2,4,Does not describe very well,Describes very well,17,33,Married,484,Ballot c
2004,1872,1872,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,19,Never married,485,Ballot b
2004,22234,22234,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,40,Divorced,486,Ballot b
2004,12872,12872,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,34,Divorced,487,Ballot b
2004,0,468,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,56,Never married,488,Ballot c
2004,0,30425,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,45,Married,489,Ballot c
2004,0,15213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,33,Separated,490,Ballot c
2004,0,12872,Neither agree nor disagree,Not at all in the past year,Once in the past year,3,4,2,4,12,26,Never married,491,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,69,Widowed,492,Ballot b
2004,0,0,Strongly agree,Once a month,At least 2 or 3 times in the past year,3,Describes very well,4,3,11,48,Never married,493,Ballot a
2004,19893,35106,Agree,Once in the past year,Once in the past year,4,Describes very well,3,Describes very well,14,39,Never married,494,Ballot a
2004,5149,5149,Strongly disagree,Not at all in the past year,Not at all in the past year,Describes very well,Describes very well,4,Describes very well,16,32,Separated,495,Ballot b
2004,0,6085,Strongly agree,Once a month,More than once a week,2,Describes very well,2,Describes very well,11,44,Divorced,496,Ballot c
2004,3277,6085,Disagree,Not at all in the past year,Not at all in the past year,4,Describes very well,4,Describes very well,12,21,Never married,497,Ballot a
2004,0,0,Neither agree nor disagree,Once a month,Once a week,3,3,3,Describes very well,13,22,Never married,498,Ballot b
2004,0,1872,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,63,Widowed,499,Ballot a
2004,0,0,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,3,Describes very well,4,4,12,20,Never married,500,Ballot c
2004,0,1872,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,21,Never married,501,Ballot b
2004,0,7021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,30,Never married,502,Ballot c
2004,63190,63190,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,4,Does not describe very well,4,14,45,Married,503,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,43,Divorced,504,Ballot b
2004,1872,35106,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,3,Describes very well,2,Describes very well,14,43,Married,505,Ballot a
2004,25744,42127,Disagree,At least 2 or 3 times in the past year,Once in the past year,Describes very well,3,4,3,14,23,Never married,506,Ballot a
2004,15213,15213,Agree,Once a week,Once a week,Does not describe very well,Describes very well,Does not describe very well,Describes very well,15,57,Divorced,507,Ballot b
2004,0,12872,Agree,Not at all in the past year,More than once a week,2,3,2,3,12,75,Widowed,508,Ballot c
2004,17553,22234,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,22,Never married,509,Ballot a
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,33,Married,510,Ballot c
2004,63190,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,27,Married,511,Ballot a
2004,0,4213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,19,Never married,512,Ballot b
2004,0,0,Agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Describes very well,3,Does not describe very well,8,20,Never married,513,Ballot b
2004,0,4213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,44,Divorced,514,Ballot a
2004,10532,10532,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,33,Never married,515,Ballot c
2004,15213,15213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,40,Never married,516,Ballot a
2004,19893,30425,Agree,Not at all in the past year,Not at all in the past year,Describes very well,Describes very well,Describes very well,Describes very well,14,20,Never married,517,Ballot a
2004,5149,51488,Agree,Once in the past year,Once in the past year,Does not describe very well,Describes very well,3,Describes very well,13,19,Never married,518,Ballot c
2004,0,25744,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8,76,Married,519,Ballot b
2004,0,0,Agree,Not at all in the past year,Not at all in the past year,3,Describes very well,Does not describe very well,Describes very well,12,22,Never married,520,Ballot b
2004,0,0,Agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,4,Describes very well,16,40,Divorced,521,Ballot c
2004,51488,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,33,Married,522,Ballot b
2004,35106,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,24,Never married,523,Ballot c
2004,0,22234,Agree,At least 2 or 3 times in the past year,Once in the past year,Does not describe very well,Describes very well,Describes very well,Describes very well,14,64,Widowed,524,Ballot b
2004,42127,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,47,Married,525,Ballot c
2004,30425,63190,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,Describes very well,4,Describes very well,Describes very well,15,42,Married,526,Ballot b
2004,15213,15213,Agree,Once in the past year,Not at all in the past year,2,2,2,3,11,19,Never married,527,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,56,Never married,528,Ballot a
2004,0,0,Disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,4,3,3,Describes very well,18,44,Married,529,Ballot c
2004,12872,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,40,Married,530,Ballot a
2004,0,151053,Neither agree nor disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,2,3,3,Describes very well,14,62,Married,531,Ballot a
2004,0,151053,Agree,Once a month,Once a month,Does not describe very well,Describes very well,Does not describe very well,Describes very well,16,49,Divorced,532,Ballot b
2004,0,0,Neither agree nor disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,3,Describes very well,Describes very well,3,16,34,Married,533,Ballot c
2004,63190,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,47,Never married,534,Ballot b
2004,0,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,No answer,Married,535,Ballot c
2004,25744,25744,Agree,Not at all in the past year,At least 2 or 3 times in the past year,Does not describe very well,3,Does not describe very well,Dont know,11,23,Never married,536,Ballot c
2004,15213,15213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,22,Never married,537,Ballot a
2004,0,30425,Strongly agree,Not at all in the past year,Not at all in the past year,3,2,3,Describes very well,12,27,Married,538,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,34,Married,539,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,38,Married,540,Ballot b
2004,0,0,Neither agree nor disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,Describes very well,3,11,79,Widowed,541,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,47,Divorced,542,Ballot b
2004,0,63190,Strongly disagree,Once in the past year,Once in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,12,46,Married,543,Ballot c
2004,42127,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,31,Married,544,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,34,Married,545,Ballot c
2004,30425,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,25,Married,546,Ballot a
2004,63190,63190,Agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,3,4,2,4,16,40,Married,547,Ballot b
2004,0,0,Neither agree nor disagree,Once in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,4,12,No answer,Married,548,Ballot a
2004,35106,77233,Disagree,Once a month,At least 2 or 3 times in the past year,2,4,2,Describes very well,17,33,Married,549,Ballot b
2004,0,63190,Agree,Once in the past year,Not at all in the past year,2,4,Does not describe very well,4,15,30,Divorced,550,Ballot b
2004,51488,51488,Disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,2,Describes very well,18,57,Divorced,551,Ballot a
2004,51488,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,49,Married,552,Ballot a
2004,42127,51488,Agree,Once a month,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,2,Does not describe very well,13,44,Separated,553,Ballot b
2004,51488,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,34,Married,554,Ballot a
2004,42127,42127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,31,Married,555,Ballot b
2004,10532,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,45,Married,556,Ballot b
2004,42127,77233,Neither agree nor disagree,Once in the past year,Not at all in the past year,3,3,Describes very well,3,14,31,Married,557,Ballot b
2004,51488,63190,Agree,Once a month,Not at all in the past year,3,4,4,3,10,28,Married,558,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,34,Married,559,Ballot a
2004,25744,51488,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,30,Married,560,Ballot c
2004,5149,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,19,Never married,561,Ballot c
2004,42127,77233,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,3,4,3,3,16,29,Married,562,Ballot a
2004,51488,77233,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,33,Married,563,Ballot a
2004,42127,42127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,31,Divorced,564,Ballot c
2004,93615,151053,Agree,At least 2 or 3 times in the past year,More than once a week,Does not describe very well,Describes very well,Does not describe very well,Describes very well,16,28,Never married,565,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,38,Married,566,Ballot a
2004,10532,35106,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,30,Married,567,Ballot c
2004,63190,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,50,Never married,568,Ballot c
2004,0,51488,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,24,Married,569,Ballot c
2004,0,0,Agree,Once a month,Once in the past year,2,4,2,4,13,49,Never married,570,Ballot a
2004,0,0,Neither agree nor disagree,Once in the past year,At least 2 or 3 times in the past year,2,4,Does not describe very well,Describes very well,12,38,Never married,571,Ballot a
2004,93615,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,44,Married,572,Ballot b
2004,25744,25744,Strongly agree,Not at all in the past year,Not at all in the past year,3,3,3,3,12,45,Never married,573,Ballot c
2004,0,0,Disagree,More than once a week,Once a month,2,3,4,4,12,38,Never married,574,Ballot b
2004,0,0,Agree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,Describes very well,3,12,79,Widowed,575,Ballot c
2004,155374,151053,Disagree,At least 2 or 3 times in the past year,Not at all in the past year,3,Describes very well,Describes very well,Describes very well,10,63,Married,576,Ballot c
2004,12872,17553,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,33,Married,577,Ballot c
2004,0,468,Agree,Not at all in the past year,Not at all in the past year,2,Describes very well,4,4,11,32,Never married,578,Ballot a
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,27,Married,579,Ballot b
2004,25744,25744,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,45,Divorced,580,Ballot c
2004,0,0,Strongly agree,Not at all in the past year,Not at all in the past year,Does not describe very well,Does not describe very well,3,3,11,28,Separated,581,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,49,Divorced,582,Ballot a
2004,0,12872,Strongly agree,Not at all in the past year,Not at all in the past year,4,4,4,4,14,62,Separated,583,Ballot a
2004,42127,42127,Disagree,Not at all in the past year,Not at all in the past year,4,3,2,4,14,30,Married,584,Ballot a
2004,63190,63190,Neither agree nor disagree,Once in the past year,Once in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,18,59,Never married,585,Ballot b
2004,30425,51488,Agree,Not at all in the past year,Not at all in the past year,2,4,Describes very well,Describes very well,14,23,Married,586,Ballot b
2004,30425,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,44,Married,587,Ballot c
2004,30425,30425,Agree,Once in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,6,38,Separated,588,Ballot c
2004,25744,25744,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,28,Never married,589,Ballot b
2004,30425,35106,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,50,Divorced,590,Ballot c
2004,0,10532,Disagree,More than once a week,Not at all in the past year,Describes very well,3,Does not describe very well,Describes very well,12,33,Never married,591,Ballot a
2004,35106,63190,Agree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,2,Describes very well,12,40,Married,592,Ballot c
2004,15213,15213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,26,Never married,593,Ballot c
2004,155374,151053,Neither agree nor disagree,Once a week,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,18,34,Married,594,Ballot a
2004,1872,3277,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,24,Never married,595,Ballot b
2004,42127,151053,Agree,Not at all in the past year,Not at all in the past year,Does not describe very well,3,3,Describes very well,16,28,Married,596,Ballot b
2004,30425,30425,Agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,3,Describes very well,3,3,14,48,Married,597,Ballot b
2004,63190,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,26,Never married,598,Ballot a
2004,468,25744,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,64,Widowed,599,Ballot b
2004,3277,3277,Disagree,Once in the past year,Not at all in the past year,Does not describe very well,Describes very well,Describes very well,Describes very well,12,41,Never married,600,Ballot c
2004,42127,42127,Neither agree nor disagree,At least 2 or 3 times in the past year,Once in the past year,2,Describes very well,2,Describes very well,15,37,Divorced,601,Ballot a
2004,35106,35106,Agree,Once in the past year,Not at all in the past year,2,4,Does not describe very well,2,13,28,Married,602,Ballot c
2004,63190,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,57,Married,603,Ballot a
2004,93615,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,59,Widowed,604,Ballot b
2004,468,10532,Neither agree nor disagree,Once a week,Once a week,2,3,2,Describes very well,18,64,Divorced,605,Ballot b
2004,42127,42127,Neither agree nor disagree,At least 2 or 3 times in the past year,Once in the past year,3,4,2,3,15,32,Never married,606,Ballot c
2004,93615,93615,Disagree,More than once a week,At least 2 or 3 times in the past year,2,Describes very well,2,Describes very well,16,40,Married,607,Ballot c
2004,0,35106,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,66,Married,608,Ballot a
2004,42127,42127,Neither agree nor disagree,Once a month,Once a week,Does not describe very well,Describes very well,2,Describes very well,16,28,Divorced,609,Ballot b
2004,77233,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,42,Married,610,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,41,Never married,611,Ballot b
2004,155374,151053,Agree,Once a month,Once a month,2,4,2,Describes very well,19,28,Married,612,Ballot b
2004,155374,151053,Disagree,At least 2 or 3 times in the past year,Once in the past year,Does not describe very well,Describes very well,2,4,20,50,Married,613,Ballot b
2004,10532,15213,Strongly agree,Once in the past year,Once in the past year,2,4,2,4,18,39,Married,614,Ballot a
2004,93615,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,37,Married,615,Ballot c
2004,25744,25744,Agree,Not at all in the past year,Not at all in the past year,3,4,3,Describes very well,11,40,Married,616,Ballot c
2004,25744,25744,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,44,Divorced,617,Ballot a
2004,155374,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,58,Married,618,Ballot a
2004,42127,42127,Disagree,Once in the past year,Not at all in the past year,Describes very well,Describes very well,3,2,13,29,Never married,619,Ballot a
2004,63190,93615,Agree,Once in the past year,Once a month,3,Describes very well,2,4,16,45,Separated,620,Ballot a
2004,0,3277,Neither agree nor disagree,Once a month,Not at all in the past year,4,Describes very well,4,4,13,66,Separated,621,Ballot b
2004,22234,51488,Disagree,Not at all in the past year,At least 2 or 3 times in the past year,2,4,2,3,12,43,Married,622,Ballot b
2004,30425,30425,Disagree,Once in the past year,Once in the past year,2,3,2,3,13,36,Never married,623,Ballot c
2004,0,42127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,48,Married,624,Ballot b
2004,0,15213,Disagree,At least 2 or 3 times in the past year,Once a week,4,2,Does not describe very well,Describes very well,12,41,Married,625,Ballot a
2004,25744,30425,Strongly agree,Not at all in the past year,Not at all in the past year,Describes very well,Describes very well,Does not describe very well,Describes very well,12,51,Never married,626,Ballot b
2004,17553,17553,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,50,Divorced,627,Ballot a
2004,155374,151053,Agree,Once a week,Not at all in the past year,3,4,3,Describes very well,17,46,Divorced,628,Ballot b
2004,51488,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,54,Married,629,Ballot a
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,35,Married,630,Ballot c
2004,42127,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,38,Married,631,Ballot c
2004,0,63190,Agree,At least 2 or 3 times in the past year,Not at all in the past year,2,Describes very well,2,4,12,46,Married,632,Ballot b
2004,0,63190,Neither agree nor disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,2,Describes very well,16,25,Married,633,Ballot a
2004,30425,30425,Agree,Once a month,Not at all in the past year,2,4,2,4,15,59,Divorced,634,Ballot b
2004,93615,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,45,Married,635,Ballot b
2004,77233,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,43,Married,636,Ballot c
2004,155374,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,51,Married,637,Ballot a
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,45,Never married,638,Ballot b
2004,63190,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,40,Married,639,Ballot c
2004,93615,151053,Agree,Once a week,Not at all in the past year,2,Describes very well,3,Describes very well,16,52,Married,640,Ballot a
2004,35106,151053,Strongly agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,3,Describes very well,Does not describe very well,4,19,34,Married,641,Ballot b
2004,155374,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,19,57,Married,642,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,48,Divorced,643,Ballot b
2004,10532,22234,Disagree,Not at all in the past year,Not at all in the past year,2,3,Does not describe very well,3,9,39,Married,644,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,31,Married,645,Ballot a
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,18,Never married,646,Ballot a
2004,6085,51488,Agree,Not at all in the past year,Not at all in the past year,2,3,Describes very well,Describes very well,12,26,Never married,647,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,49,Married,648,Ballot c
2004,0,0,Neither agree nor disagree,At least 2 or 3 times in the past year,Not at all in the past year,2,Describes very well,2,Describes very well,14,71,Widowed,649,Ballot a
2004,42127,63190,Disagree,Once in the past year,Not at all in the past year,Does not describe very well,Does not describe very well,Does not describe very well,Describes very well,14,47,Never married,650,Ballot b
2004,51488,77233,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,53,Married,651,Ballot c
2004,6085,6085,Neither agree nor disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,3,3,12,41,Married,652,Ballot a
2004,42127,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,56,Married,653,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,40,Married,654,Ballot b
2004,0,12872,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,74,Widowed,655,Ballot a
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,61,Married,656,Ballot c
2004,4213,4213,Agree,Not at all in the past year,Not at all in the past year,3,Describes very well,3,4,15,22,Never married,657,Ballot b
2004,6085,15213,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,29,Married,658,Ballot b
2004,17553,17553,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13,52,Divorced,659,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,24,Never married,660,Ballot c
2004,35106,35106,Strongly agree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,14,31,Never married,661,Ballot b
2004,42127,42127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,36,Never married,662,Ballot a
2004,12872,25744,Neither agree nor disagree,Not at all in the past year,Not at all in the past year,3,Describes very well,2,3,12,20,Never married,663,Ballot a
2004,42127,42127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,27,Never married,664,Ballot a
2004,0,0,Agree,Once in the past year,Once in the past year,3,3,3,3,16,49,Married,665,Ballot c
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16,38,Married,666,Ballot c
2004,1872,0,Neither agree nor disagree,Once a month,Once a month,3,2,3,3,12,18,Never married,667,Ballot b
2004,63190,151053,Neither agree nor disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,3,2,3,16,53,Married,668,Ballot c
2004,51488,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,18,50,Married,669,Ballot b
2004,15213,77233,Strongly disagree,Once a month,More than once a week,4,Describes very well,Does not describe very well,Describes very well,13,47,Married,670,Ballot a
2004,25744,77233,Agree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,Describes very well,Does not describe very well,Describes very well,12,25,Divorced,671,Ballot b
2004,0,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,24,Never married,672,Ballot c
2004,30425,35106,Neither agree nor disagree,Once in the past year,Not at all in the past year,3,Describes very well,2,3,14,39,Married,673,Ballot a
2004,77233,151053,Agree,Once a week,Not at all in the past year,2,Describes very well,4,Dont know,12,39,Married,674,Ballot c
2004,0,51488,Neither agree nor disagree,At least 2 or 3 times in the past year,At least 2 or 3 times in the past year,3,Describes very well,4,4,12,44,Married,675,Ballot a
2004,63190,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,48,Married,676,Ballot b
2004,10532,42127,Neither agree nor disagree,Once in the past year,Not at all in the past year,Does not describe very well,3,Does not describe very well,4,17,32,Married,677,Ballot b
2004,155374,151053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,41,Married,678,Ballot a
2004,5149,42127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,46,Married,679,Ballot b
2004,155374,151053,Disagree,Once a month,Once a week,2,4,3,Describes very well,17,41,Never married,680,Ballot c
2004,77233,93615,Neither agree nor disagree,Once a week,Not at all in the past year,Does not describe very well,Describes very well,3,4,18,54,Married,681,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14,67,Divorced,682,Ballot a
2004,0,8425,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,11,26,Never married,683,Ballot a
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,63,Married,684,Ballot c
2004,0,7021,Strongly disagree,At least 2 or 3 times in the past year,Not at all in the past year,Does not describe very well,3,Does not describe very well,Describes very well,11,85,Widowed,685,Ballot a
2004,25744,93615,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,47,Married,686,Ballot b
2004,63190,63190,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,26,Never married,687,Ballot b
2004,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,17,67,Married,688,Ballot a
2004,63190,151053,Agree,Once in the past year,Not at all in the past year,Describes very well,Does not describe very well,2,3,18,63,Married,689,Ballot a
